golden_provider_id,cluster_size,source_records,rules_applied,conflicts_detected,created_at
GPROV0000001,1,CRM_A_P_PROV_00000_567,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:20
GPROV0000002,1,CRM_B_P_PROV_00000_970,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:20
GPROV0000003,2,CRM_A_P_PROV_00001_370|CRM_B_P_PROV_00001_177,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:20
GPROV0000004,2,CRM_A_P_PROV_00002_699|CRM_B_P_PROV_00002_562,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:20
GPROV0000005,1,CRM_A_P_PROV_00003_816,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:20
GPROV0000006,1,CRM_B_P_PROV_00003_187,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:20
GPROV0000007,1,CRM_B_P_PROV_00003_806,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:20
GPROV0000008,1,CRM_A_P_PROV_00004_982,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:20
GPROV0000009,1,CRM_B_P_PROV_00004_199,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:20
GPROV0000010,2,CRM_A_P_PROV_00005_593|CRM_B_P_PROV_00005_894,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:no_non_null|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:20
GPROV0000011,1,CRM_B_P_PROV_00005_388,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:20
GPROV0000012,3,CRM_A_P_PROV_00006_205|CRM_B_P_PROV_00006_133|CRM_B_P_PROV_00006_539,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:no_non_null|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,"{'specialty': ['General Medicine', 'Neurology']}",2026-02-05T15:23:20
GPROV0000013,1,CRM_A_P_PROV_00007_444,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:20
GPROV0000014,1,CRM_B_P_PROV_00007_202,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:20
GPROV0000015,1,CRM_A_P_PROV_00008_440,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:no_non_null|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:21
GPROV0000016,1,CRM_A_P_PROV_00009_449,npi:trust_then_latest|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:21
GPROV0000017,1,CRM_A_P_PROV_00010_566,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:no_non_null|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:21
GPROV0000018,1,CRM_B_P_PROV_00010_336,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:21
GPROV0000019,1,CRM_A_P_PROV_00010_104,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:21
GPROV0000020,1,CRM_A_P_PROV_00011_486,npi:no_non_null|first_name:trust_then_latest|last_name:trust_then_latest|gender:trust_then_latest|specialty:trust_then_latest|email:trust_then_latest|phone:trust_then_latest|address_line1:trust_then_latest|city:trust_then_latest|state:trust_then_latest|postal_code:trust_then_latest|country:trust_then_latest|record_status:trust_then_latest,,2026-02-05T15:23:21
